,type,name,length_km,toll,lat,lon,arg_min,volume
172,Secondary Highway,7,68,0,"[34.75494065417927 34.73410152029283 34.70457941395371 34.66463774067136
 34.64379860678492 34.628169256370086 34.617749689426866
 34.596910555540425 34.53960293735271 34.51355401999466 34.51181742550412
 34.51702720897573 34.504871047541975 34.50660764203251 None]","[-96.69360355644977 -96.70749631237408 -96.73701841871319
 -96.7891162534293 -96.79606263139145 -96.83079452120218
 -96.83947749365487 -96.84468727712648 -96.83947749365487
 -96.85163365508862 -96.86031662754131 -96.87768257244667
 -97.12775217908398 -97.18679639176223 None]",887.0,24807.5
173,Major Highway,75,79,0,"[32.89970158203526 32.92457006115348 32.93846281707778 32.96277513994529
 33.00966319118979 33.04092189201945 33.09822951020716 33.115595455112526
 33.157273722885414 33.17463966779078 33.24584004190279 33.287518309675676
 33.31183063254319 33.421236085447006 33.5011194320117 33.575792995104784
 33.645256774726256 33.66956909759377 None]","[-96.76769719849968 -96.76654052505232 -96.74917458014696
 -96.73180863524159 -96.70575971788354 -96.70575971788354
 -96.68665717848764 -96.67797420603495 -96.64497891071474
 -96.6380325327526 -96.63455934377153 -96.59982745396078
 -96.59114448150811 -96.58767129252703 -96.61719339886616
 -96.60156404845132 -96.61372020988509 -96.60851042641347 None]",966.0,1755.2903225806451
174,Major Highway,10,231,0,"[30.578430904438253 30.616635983230065 30.621845766701675
 30.620109172211137 30.66699722345563 30.684363168361 30.710412085719053
 30.686099762851537 30.67915338488939 30.682626573870465
 30.705202302247443 30.74861716451086 30.752090353491937 30.74514397552979
 30.7173584636812 30.713885274700125 30.741670786548713 30.757300136963547
 30.767719703906767 30.80939797167965 30.859759211905217
 30.882334940282195 30.892754507225415 30.892754507225415
 30.877125156810585 30.89622769620649 30.866705589867365
 30.877125156810585 None]","[-100.64261942793047 -100.75028828634376 -100.7711274202302
 -100.82322525494631 -100.95173324724603 -101.06461188913092
 -101.16533436958206 -101.25563728308997 -101.3233644682209
 -101.38761846437076 -101.51612645667049 -101.66200039387559
 -101.6863127167431 -101.71757141757276 -101.77835222474155
 -101.80613773659013 -101.84434281538195 -101.9172797839845
 -101.93464572888986 -101.98153378013436 -102.0735732881328
 -102.12393452835838 -102.16561279613126 -102.20034468594199
 -102.26807187107293 -102.35663819009031 -102.55287336752096
 -102.64491287551941 None]",5206.0,4144.290322580645
175,Secondary Highway,87,145,0,"[31.45641170562446 31.519665118309202 31.540504252195646 31.61344122079819
 31.644699921627854 31.648173110608926 31.670748838985908
 31.68985137838181 31.722846673702012 31.767998130455968
 31.790573858832946 31.807939803738314 31.833988721096365
 31.84788147702066 31.88608655581247 31.898242717246227 31.910398878679985
 31.94513076849072 31.955550335433944 31.983335847282532 32.09274130018635
 32.13094637897816 32.18130761920373 32.19867356410909 32.22819567044822
 32.25250799331574 32.26292756025896 None]","[-100.44317269857483 -100.49674549072539 -100.51932121910237
 -100.64088283343995 -100.67735131774121 -100.69645385713712
 -100.71555639653302 -100.76070785328697 -100.80238612105987
 -100.84753757781382 -100.9170013574353 -100.94652346377441
 -100.96736259766085 -101.02814340482965 -101.07503145607414
 -101.11670972384702 -101.14449523569562 -101.18096371999688
 -101.22090539327924 -101.2660568500332 -101.39803803131399
 -101.43624311010579 -101.47618478338815 -101.47097499991654
 -101.47444818889761 -101.47965797236921 -101.49007753931244 None]",4975.0,11737.354838709678
176,Secondary Highway,84,151,0,"[34.40935835056245 34.38504602769493 34.36768008278957 34.33294819297883
 34.220069551093935 34.18012787781159 34.03772712958757 34.00646842875791
 33.780711144988125 33.74076947170578 33.65914953065055 33.624417640839816
 33.59142234551962 None]","[-103.02696366343751 -103.02349047445644 -103.00786112404161
 -102.92103139951476 -102.72826941106518 -102.672698387368
 -102.50598531627647 -102.45215088706983 -102.14651025673535
 -102.07704647711388 -101.97979718564382 -101.92943594541825
 -101.86865513824947 None]",979.0,3595.0967741935483
177,Secondary Highway,281,162,0,"[32.61198305285686 32.58072435202719 32.441796792784245 32.39490874153975
 32.35496706825741 32.29244966659808 32.25945437127788 32.23340545391983
 32.19346378063749 32.09621448916742 32.03717027648917 32.00764817015005
 31.985072441773067 31.891296339284082 31.839198504567978
 31.806203209247776 31.729793051664156 31.61344122079819
 31.538767657705108 31.455411122159344 31.425889015820218
 31.33732269680284 31.24528318880439 31.182765787145062 31.15671686978701
 31.14629730284379 31.139350924881644 31.120248385485738 31.05425779484534
 None]","[-98.1106646607278 -98.11240125521834 -98.1384501725764 -98.16102590095338
 -98.16623568442499 -98.18881141280197 -98.19749438525466
 -98.19402119627358 -98.17318206238714 -98.1002450937846
 -98.07940595989815 -98.05509363703064 -98.02209834171043
 -98.08287914887923 -98.10892806623727 -98.11761103868996
 -98.1193476331805 -98.15060633401016 -98.1523429285007 -98.1714454678966
 -98.17491865687768 -98.16623568442499 -98.1714454678966
 -98.16623568442499 -98.17318206238714 -98.18012844034928
 -98.1905480072925 -98.19575779076412 -98.18186503483982 None]",686.0,37344.8064516129
178,Secondary Highway,6,94,0,"[31.559606791591552 31.52140171279974 31.52140171279974 31.498825984422762
 31.491879606460614 31.479723445026856 31.476250256045784
 31.252229566766538 31.236600216351704 31.22791724389902
 31.214024487974726 31.115038602014128 31.08204330669393
 31.035155255449435 31.012579527072457 30.98479401522387 30.90317407416864
 None]","[-97.11733261214076 -97.00445397025587 -96.96972208044512
 -96.95235613553976 -96.93151700165332 -96.92804381267224
 -96.91588765123849 -96.87247278897507 -96.85163365508862
 -96.79779922588199 -96.78216987546715 -96.72486225727944
 -96.71617928482675 -96.70923290686461 -96.70054993441192
 -96.68144739501602 -96.60851042641347 None]",590.0,1592.0666666666666
179,Major Highway,10,43,0,"[29.69450430875502 29.691031119773946 29.699714092226632
 29.692767714264484 29.696240903245556 None]","[-96.51820751290556 -96.6432423162242 -96.74570139116588
 -96.81169198180628 -96.90199489531419 None]",5036.0,38552.11111111111
180,Secondary Highway,77,168,0,"[26.29425229628395 26.308145052208246 26.328984186094686
 26.401921154697234 26.45749217839441 26.481804501261927 26.50785341861998
 26.58947335967521 26.756186430766743 26.869065072651637 27.14344700215645
 27.226803537702217 27.28063796690886 27.304950289776375 27.48034633332059
 27.53070757354616 27.55675649090421 27.568912652337968 27.655742376864808
 27.69915723912823 27.784250369164532 27.836348203880636
 27.865870310219762 None]","[-97.74771641220562 -97.76334576262045 -97.77202873507314
 -97.78071170752582 -97.77723851854475 -97.76334576262045
 -97.77376532956367 -97.76508235711098 -97.76681895160152
 -97.78071170752582 -97.79460446345011 -97.78592149099742
 -97.8032874359028 -97.81544359733655 -97.86059505409051
 -97.84322910918515 -97.80676062488386 -97.79634105794065
 -97.75639938465831 -97.72687727831918 -97.66088668767878
 -97.64699393175448 -97.62268160888696 None]",1110.0,6774.1612903225805
181,Major Highway,77,11,0,[26.188320032361208 26.240417867077312 26.29425229628395 None],[-97.71993090035703 -97.71819430586649 -97.74771641220562 None],183.0,3419.0
