,type,name,length_km,toll,lat,lon,arg_min,volume
1,Secondary Highway,83,164,0,"[42.80752930679845 42.78842676740254 42.63734304672584 42.527937593822024
 42.36122452273049 42.32996582190083 42.251819069826674 42.178882101224126
 42.10073534914997 41.98264692379347 41.98091032930293 41.93923206153004
 41.8992903882477 41.85761212047481 41.83850958107891 41.810724069230325
 41.77425558492905 41.75167985655207 41.732577317156164 41.68568926591167
 41.65443056508201 41.60059613587537 41.54502511217819 41.44603922621759
 41.42172690335008 41.37136566312451 41.31926782840841 41.310584855955724
 41.27585296614499 41.24633085980586 41.220281942447805 41.19770621407083
 41.1021935170913 None]","[-100.50542846317806 -100.53495056951719 -100.5401603529888
 -100.53668716400773 -100.54537013646042 -100.52800419155504
 -100.53321397502665 -100.5262675970645 -100.5401603529888
 -100.54189694747934 -100.55752629789417 -100.5540531089131
 -100.56273608136578 -100.55752629789417 -100.54710673095096
 -100.54363354196988 -100.5262675970645 -100.52279440808344
 -100.50890165215914 -100.51411143563075 -100.50195527419699
 -100.48979911276324 -100.50021867970646 -100.50369186868753
 -100.50021867970646 -100.55926289238471 -100.61136072710082
 -100.62872667200618 -100.65130240038316 -100.67735131774121
 -100.70861001857088 -100.74855169185322 -100.7711274202302 None]",3815.0,880.1904761904761
2,Secondary Highway,840,98,0,"[36.02439122676168 35.96361041959289 35.906302801405175 35.85594156117961
 35.822946265859414 35.8316292383121 35.81252669891619 35.824682860349945
 35.83510242729317 35.84552199423639 35.86636112812283 35.875044100575515
 35.89067345099035 35.89375199157807 None]","[-87.27431503977813 -87.22916358302417 -87.16143639789324
 -87.09544580725284 -87.0364015945746 -86.84884938959662
 -86.75680988159817 -86.75160009812656 -86.74291712567387
 -86.70992183035368 -86.53105259782838 -86.48416454658388
 -86.47895476311228 -86.47279768193684 None]",5071.0,1410.645161290323
3,Secondary Highway,151,17,0,[44.151653442473936 44.14818025349286 None],[-87.72756620180824 -87.57300929215047 None],,
4,Major Highway,GSP,33,1,"[39.14301326086365 39.23361784527367 39.31002800285745 None
 39.31002800285745 39.34649648715862 39.410750483308504 None]","[-74.75920259253698 -74.67358541644307 -74.64579990459447 None
 -74.64406331010395 -74.61627779825528 -74.55376039659603 None]",1613.0,2057.483870967742
6,Secondary Highway,85,138,0,"[42.75716806657288 42.79016336189308 42.84920757457133 42.88220286989153
 42.88741265336314 42.90825178724958 42.946456866041395 43.0315499960777
 43.090594208755945 43.25557068535694 43.29203916965822 43.304195331091975
 43.37018592173237 43.41012759501472 43.427493539920086 43.4518058627876
 43.46222542973082 43.498693914032096 43.6167823393886 43.77481243802745
 43.814754111309796 43.85122259561107 43.89290086338395 43.929369347685224
 43.97104761545811 44.017935666702606 44.04224798957012 44.082189662852464
 44.132550903078034 44.13776068654964 44.15686322594555 44.170755981869846
 44.17596576534145 None]","[-104.4509711456777 -104.43881498424393 -104.40234649994267
 -104.39887331096159 -104.40581968892374 -104.4040830944332
 -104.36066823216979 -104.36761461013192 -104.36587801564139
 -104.29467764152938 -104.30336061398206 -104.30162401949153
 -104.22868705088898 -104.20437472802146 -104.19916494454985
 -104.21132110598361 -104.21132110598361 -104.20437472802146
 -104.19395516107825 -104.18874537760664 -104.18353559413502
 -104.19742835005933 -104.1870087831161 -104.18353559413502
 -104.19916494454985 -104.16269646024858 -104.15054029881483
 -104.13664754289053 -104.13143775941892 -104.10017905858926
 -104.07239354674067 -104.0689203577596 -104.0550276018353 None]",1490.0,1671.7096774193549
7,Secondary Highway,85,54,0,"[44.17596576534145 44.17770235983199 44.195068304737354 44.20548787168058
 44.22632700556702 44.22980019454809 44.24021976149132 44.243692950472386
 44.25758570639668 44.2818980292642 44.29926397416956 44.29231759620742
 44.295790785188494 44.314893324584396 44.33052267499923 44.37914732073426
 44.39130348216802 44.426035371978756 44.47292342322325 None]","[-104.05329100734477 -104.03766165692993 -104.03766165692993
 -103.98556382221383 -103.95951490485578 -103.92130982606396
 -103.92130982606396 -103.92825620402611 -103.92651960953557
 -103.90568047564913 -103.86747539685733 -103.83621669602766
 -103.82058734561284 -103.79801161723586 -103.7997482117264
 -103.72160145965223 -103.71465508169008 -103.711181892709
 -103.73375762108599 None]",5003.0,4752.064516129032
52,Secondary Highway,299,236,0,"[41.50334684440531 41.505083438895845 41.494663871952625 41.50161024991477
 41.49813706093369 41.47382473806618 41.46340517112296 41.454722198670275
 41.402624363954175 41.373102257615045 41.35920950169075 41.34358015127592
 41.312321450446255 41.28627253308821 41.239384481843715 41.21680875346674
 41.19596961958029 41.16992070222224 41.15255475731687 41.14560837935473
 41.13345221792097 41.086564166676474 41.06225184380896 41.07093481626164
 41.09177395014808 41.09872032811023 41.09872032811023 41.09003735565755
 41.076144599733254 41.046622493394125 41.01015400909285 40.99799784765909
 40.994524658678024 41.00147103664017 40.99105146969695 40.97889530826319
 40.973685524791584 40.97889530826319 40.96673914682943 40.890328989245816
 40.87469963883098 40.872963044340445 40.87817282781206 40.86948985535937
 40.862543477397224 40.852123910454004 40.87122644984991 40.86775326086884
 40.83649456003917 40.810445642681124 40.79655288675683 40.791343103285215
 40.787869914304146 40.780923536341994 40.780923536341994
 40.760084402455554 40.75661121347448 40.74271845755018 40.71319635121106
 40.69235721732462 40.68367424487193 40.66978148894764 40.62983981566529
 None]","[-120.54572888397281 -120.60998288012269 -120.65166114789557
 -120.69160282117791 -120.70549557710221 -120.74891043936563
 -120.78364232917636 -120.84789632532622 -120.931252860872
 -120.95382858924897 -120.94861880577736 -120.91215032147609
 -120.89304778208017 -120.88783799860857 -120.90867713249501
 -120.92430648290984 -120.94514561679628 -120.98161410109756
 -121.02850215234206 -121.09101955400138 -121.13269782177426
 -121.19521522343358 -121.20737138486734 -121.25773262509291
 -121.2716253810172 -121.28204494796043 -121.29593770388472
 -121.31156705429954 -121.32025002675223 -121.40360656229801
 -121.4366018576182 -121.4557043970141 -121.49217288131538
 -121.50085585376806 -121.51301201520182 -121.5164852041829
 -121.52343158214504 -121.55121709399363 -121.5737928223706
 -121.65541276342584 -121.68319827527442 -121.70924719263247
 -121.73008632651892 -121.73529610999053 -121.73529610999053
 -121.76134502734858 -121.8707504802524 -121.88637983066724
 -121.92458490945904 -121.94021425987387 -121.94368744885494
 -121.94889723232656 -121.97147296070354 -121.97841933866569
 -122.00620485051428 -122.01662441745749 -122.02357079541964
 -122.07393203564521 -122.08608819707896 -122.10866392545594
 -122.15207878771936 -122.17639111058688 -122.27537699654748 None]",4349.0,1216.8387096774193
53,Major Highway,5,100,0,"[43.15832139388689 43.16874096083011 43.180897122263865 43.20520944513138
 43.29724895312983 43.354556571317545 43.39102505561882 43.50216710301317
 43.51605985893747 43.53689899282391 43.56121131569142 43.61157255591699
 43.64283125674665 43.67929974104793 43.694929091462754 43.7157682253492
 43.72792438678296 43.753973304141006 43.74702692617886 43.752236709650475
 43.79738816640443 43.8668519460259 43.939788914628444 43.99535993832563
 44.040511395079584 44.070033501418706 None]","[-123.36422174211405 -123.37811449803836 -123.37464130905728
 -123.36074855313298 -123.3520655806803 -123.3329630412844
 -123.34164601373708 -123.32254347434117 -123.31386050188848
 -123.29302136800204 -123.28433839554937 -123.2200843993995
 -123.21834780490896 -123.20271845449413 -123.2009818600036
 -123.20966483245628 -123.2009818600036 -123.16451337570233
 -123.11415213547676 -123.09157640709978 -123.04468835585529
 -123.0169028440067 -123.0030100880824 -123.00474668257294
 -123.04468835585529 -123.04642495034582 None]",4347.0,6285.032258064516
54,Secondary Highway,2,258,0,"[48.312533841800125 48.31079724730959 48.32642659772442 48.331636381196034
 48.322953408743345 48.32816319221496 48.32469000323388 48.331636381196034
 48.30732405832852 48.31079724730959 48.32642659772442 48.32816319221496
 48.34031935364872 48.34379254262979 48.21875773931114 48.21354795583953
 48.177079471538256 48.1510305541802 48.145820770708596 48.145820770708596
 None]","[-101.54391196851908 -101.64984423244182 -101.73146417349706
 -101.78877179168477 -101.94680189032361 -102.02321204790724
 -102.17950555205555 -102.29585738292151 -102.38616029642942
 -102.5685027179358 -102.60844439121814 -102.72132303310303
 -102.78731362374343 -103.62782535716325 -103.62608876267271
 -103.63129854614432 -103.63129854614432 -103.67124021942666
 -103.68513297535097 -103.74244059353867 None]",3902.0,7516.8387096774195
55,Secondary Highway,140,317,0,"[41.39741458048269 41.39741458048269 41.406097552935364 41.45819538765147
 41.48250771051897 41.604069324856425 41.77078239594812 41.80204109677766
 41.85934871496545 41.88018784885185 41.946178439492144 41.944441845001734
 41.91839292764365 41.911446549681386 41.90276357722888 41.878451254361266
 41.86976828190859 41.86976828190859 41.88713422681394 41.88713422681394
 41.913183144172024 41.907973360700396 41.881924443342314
 41.87150487639917 41.90450017171935 41.92012952213412 41.96354438439755
 41.99306649073668 None 41.99480308522726 41.99827627420831
 42.00001286869889 42.01216903013267 42.017378813604296 42.02432519156639
 42.05384729790546 42.09031578220686 42.095525565678486 42.093788971187905
 42.10247194364058 42.1146281050743 42.13373064447029 42.16498934529983
 42.17540891224314 42.18582847918623 42.21187739654431 42.22229696348762
 42.21361399103495 42.220560368996985 42.24487269186466 42.25702885329838
 None]","[-117.78280704952874 -117.90610525835683 -118.04676941209038
 -118.26210712891691 -118.29336582974656 -118.41666403857471
 -118.54343543638385 -118.56601116476088 -118.56948435374193
 -118.59206008211885 -118.61637240498641 -118.64936770030664
 -118.7049387240038 -118.72751445238077 -118.73446083034293
 -118.73619742483345 -118.74661699177665 -118.77787569260636
 -118.83518331079398 -118.88207136203857 -118.95500833064108
 -118.97063768105585 -118.9949500039234 -119.05052102762062
 -119.14603372460016 -119.26412214995662 -119.2936442562958
 -119.30580041772953 None -119.30580041772953 -119.31274679569162
 -119.39783992572796 -119.43604500451977 -119.4759866778021
 -119.48466965025477 -119.48987943372646 -119.6409631544031
 -119.67569504421385 -119.70348055606246 -119.73647585138269
 -119.76078817425014 -119.78162730813665 -119.80246644202299
 -119.8233055759095 -119.97265270209567 -120.04211648171707
 -120.08900453296167 -120.12720961175336 -120.2400882536383
 -120.31823500571244 -120.34081073408947 None]",4349.0,1216.8387096774193
56,Secondary Highway,78,159,0,"[43.58726023304948 43.58552363855894 43.457015646259215 43.44485948482546
 43.43791310686331 43.4136007839958 43.38755186663774 43.27988300822446
 43.23125836248943 43.17568733879225 43.1027503701897 43.0836478307938
 43.048915940983065 43.00376448422911 42.951666649513 42.77974379494986
 None]","[-119.05746740558277 -118.98105724799916 -118.81260758241709
 -118.79176844853065 -118.61116262151482 -118.58858689313784
 -118.5920600821189 -118.58337710966623 -118.4878644126867
 -118.31594155812355 -118.23953140053995 -118.2047995107292
 -118.17180421540901 -118.0867110853727 -118.04329622310928
 -117.85400742364077 None]",353.0,10665.739130434782
57,Secondary Highway,26,102,0,"[45.615602597996464 45.64165151535452 45.6503344878072 45.69027616108955
 45.707642105994914 45.73369102335297 45.747583779277264 45.7632131296921
 45.78057907459746 45.77363269663532 45.77363269663532 45.778842480106924
 45.80489139746498 45.817047558898736 45.827467125841956 45.84483307074733
 45.86393561014323 45.86219901565269 45.88303814953913 45.888247933010746
 45.909087066897186 45.90387728342557 45.909087066897186
 45.900404094444504 45.91256025587826 45.92818960629309 45.93687257874578
 None]","[-123.06726408423226 -123.1158887299673 -123.15062061977802
 -123.21313802143736 -123.23571374981434 -123.24786991124809
 -123.2721822341156 -123.31212390739795 -123.34164601373708
 -123.37637790354782 -123.41979276581124 -123.43021233275445
 -123.48057357298002 -123.49620292339486 -123.49793951788538
 -123.52919821871505 -123.57261308097847 -123.59692540384599
 -123.60908156527975 -123.61776453773243 -123.71154064022141
 -123.76016528595645 -123.82094609312524 -123.86957073886026
 -123.89214646723724 -123.90256603418047 -123.92166857357637 None]",,
58,Secondary Highway,101,71,0,"[45.164088030456895 45.17624419189065 45.204029703739245 45.25960072743642
 45.285649644794475 45.327327912567355 45.34643045196326
 45.377689152792925 45.44367974343332 45.490567794677816 45.49751417263996
 45.51835330652641 45.530509467960165 45.551348601846605 45.56350476328036
 45.57045114124251 45.56350476328036 45.57913411369519 45.594763464110024
 45.63470513739237 45.65901746025988 45.685066377617936 45.686802972108474
 45.68159318863687 45.69201275558009 45.707642105994914 45.71979826742867
 None]","[-123.93035154602906 -123.92514176255744 -123.88867327825618
 -123.84873160497382 -123.82094609312524 -123.83483884904953
 -123.81399971516309 -123.80358014821987 -123.83657544354007
 -123.83657544354007 -123.84004863252115 -123.87304392784134
 -123.88693668376564 -123.89735625070885 -123.88346349478456
 -123.8852000892751 -123.91993197908583 -123.93556132950067
 -123.93903451848173 -123.9320881405196 -123.9181953845953
 -123.91472219561423 -123.90603922316154 -123.88346349478456
 -123.86436095538866 -123.87651711682241 -123.90256603418047 None]",,
59,Secondary Highway,199,58,0,"[41.99653967971776 41.98091032930293 41.97396395134078 41.967017573378634
 41.94791503398273 41.916656333153064 41.8992903882477 41.8662950929275
 41.83677298658837 41.84545595904106 41.84545595904106 41.83850958107891
 41.824616825154614 41.80725088024925 41.78988493534388 41.80898747473979
 41.79683131330603 None]","[-123.71675042369303 -123.71848701818357 -123.74279934105108
 -123.74974571901323 -123.74279934105108 -123.77232144739021
 -123.77579463637127 -123.86957073886026 -123.92687835704798
 -123.98071278625463 -124.01891786504643 -124.0362838099518
 -124.0310740264802 -124.05364975485718 -124.06233272730985
 -124.11269396753542 -124.14916245183669 None]",4409.0,3664.227272727273
60,Secondary Highway,101,54,0,"[41.34878993474753 41.36094609618129 41.392204797010955 41.42172690335008
 41.475561332556715 41.51376641134853 41.5502348956498 41.65443056508201
 41.6822160769306 41.70826499428865 41.732577317156164 41.74647007308046
 41.76557261247636 41.77599217941959 41.79683131330603 None]","[-124.02933743198966 -123.99113235319784 -123.99460554217892
 -124.0084982981032 -124.04323018791395 -124.03281062097072
 -124.04843997138556 -124.11095737304488 -124.10053780610167
 -124.1022744005922 -124.12311353447865 -124.15958201877991
 -124.1821577471569 -124.17868455817582 -124.14916245183669 None]",4409.0,3664.227272727273
61,Secondary Highway,95,79,0,"[43.97452080443918 43.9137399972704 43.87206172949751 43.83906643417731
 43.793914977423356 43.762656276593695 43.64630444572773 43.62199212286021
 43.609835961426455 43.592470016521084 43.57163088263464
 43.559474721200885 43.54731855976713 43.5507917487482 43.54731855976713
 43.53689899282391 43.509113480975316 43.48306456361727 43.43096672890116
 43.41012759501472 43.37018592173237 43.27640981924338 43.252097496375875
 None]","[-116.91277320976982 -116.93882212712788 -116.94924169407109
 -116.94750509958055 -116.9353489381468 -116.91103661527929
 -116.91277320976982 -116.91798299324142 -116.93013915467519
 -116.9353489381468 -116.93013915467519 -116.91450980426036
 -116.89367067037391 -116.87109494199693 -116.85199240260103
 -116.84851921361995 -116.86241196954425 -116.86414856403479
 -116.86067537505372 -116.87109494199693 -116.91798299324142
 -116.99612974531559 -117.02738844614525 None]",146.0,9110.451612903224
62,Secondary Highway,95,42,0,"[40.96673914682943 40.98063190275373 41.09177395014808 41.15081816282633
 41.2011794030519 41.26196021022069 41.3001652890125 41.32447761188001
 41.39741458048256 None]","[-117.74286537624641 -117.74286537624641 -117.70466029745461
 -117.68903094703977 -117.68382116356817 -117.6907675415303
 -117.69597732500192 -117.70813348643567 -117.78280704952876 None]",,
66,Major Highway,80,309,0,"[41.78814834085334 41.77425558492905 41.77946536840066 41.77599217941959
 41.791621529834416 41.791621529834416 41.75515304553314 41.73778710062778
 41.710001588779186 41.70479180530758 41.7013186163265 41.67353310447791
 41.63359143119557 41.63359143119557 41.649220781610396 41.67353310447791
 41.68742586040221 41.69437223836436 41.69437223836436 41.67353310447791
 41.66658672651577 41.638801214667176 41.63359143119557 41.59364975791322
 41.6023327303659 41.607542513837515 41.6023327303659 41.576283813007855
 41.56239105708356 41.53807873421604 41.52939576176336 41.5311323562539
 41.55891786810248 41.56239105708356 41.54328851768766 41.54328851768766
 41.546761706668725 None]","[-107.18263427929209 -107.21736616910283 -107.27120059830946
 -107.3198252440445 -107.38581583468489 -107.40144518509973
 -107.54210933883321 -107.70361262645314 -107.8060717013948
 -107.84080359120554 -107.92068693777023 -107.99536050086331
 -108.29579134772618 -108.42256274553537 -108.70562764749288
 -108.75077910424683 -108.79940374998186 -108.84976499020742
 -108.9053360139046 -108.93138493126266 -108.96611682107338
 -109.03558060069486 -109.07378567948668 -109.19534729382426
 -109.20403026627693 -109.22313280567283 -109.23702556159714
 -109.25612810099304 -109.29433317978484 -109.37595312084008
 -109.42978755004673 -109.48883176272497 -109.53919300295054
 -109.55482235336537 -109.62428613298684 -109.867409361662
 -109.91082422392542 None]",4808.0,4100.354838709677
67,Secondary Highway,189,226,0,"[41.753416451042604 41.82635341964515 41.873241470889646 41.87671465987072
 41.87150487639911 41.895817199266624 41.88887082130448 41.8992903882477
 41.97222735685025 42.00348605767991 42.027798380547424 42.0503741089244
 42.07468643179192 42.090315782206744 42.109418321602654
 42.130257455489094 42.262238636769894 42.333439010881904
 42.395956412541224 42.4185321409182 42.43937127480464 42.444581058276256
 42.46021040869109 42.47410316461538 42.48625932604914 42.51404483789773
 42.566142672613836 42.5835086175192 42.630396668763694 42.6494992081596
 42.691177475932484 42.712016609818924 42.760641255553956
 42.81968546823221 42.833578224156504 42.85268076355241 42.88393946438207
 42.94819346053193 43.00202788973857 43.07149166936004 43.11316993713292
 43.140955448981515 43.13574566550991 43.1496384214342 43.15311161041527
 43.15832139388689 43.172214149811175 43.19999966165977 43.243414523923185
 43.252097496375875 43.243414523923185 43.27467322475285 43.29030257516768
 43.29030257516768 43.28509279169607 43.29724895312983 43.31635149252573
 43.325034464978415 None]","[-110.54468121297135 -110.52557867357544 -110.52557867357544
 -110.48216381131202 -110.45958808293504 -110.40575365372841
 -110.36928516942713 -110.33628987410694 -110.21299166527882
 -110.17652318097754 -110.16089383056271 -110.15394745260056
 -110.15394745260056 -110.15915723607218 -110.18173296444915
 -110.1886793424113 -110.197362314864 -110.17825977546808
 -110.12789853524251 -110.1174789682993 -110.11400577931822
 -110.09837642890339 -110.08795686196017 -110.08795686196017
 -110.09663983441285 -110.103586212375 -110.103586212375
 -110.10011302339393 -110.0705909170548 -110.06885432256426
 -110.07927388950749 -110.08101048399803 -110.05669816113051
 -110.04975178316836 -110.05322497214944 -110.07232751154534
 -110.07406410603588 -110.08448367297909 -110.10011302339393
 -110.16263042505325 -110.16610361403433 -110.21820144875043
 -110.23209420467472 -110.23904058263687 -110.24772355508955
 -110.35191922452177 -110.38838770882303 -110.41443662618109
 -110.43701235455806 -110.47521743334988 -110.49084678376471
 -110.53426164602813 -110.53947142949974 -110.56899353583887
 -110.60025223666852 -110.65929644934678 -110.68708196119536
 -110.72528703998718 None]",1450.0,5261.645161290323
68,Secondary Highway,30,91,0,"[42.20666761307271 42.20319442409164 42.18582847918627 42.14241361692285
 42.09899875465943 42.046900919943326 42.00348605767991 41.822880230664076
 41.81767044719247 41.824616825154614 41.814197258211394
 41.812460663720856 41.79856790779657 41.77946536840066 41.760362829004755
 41.748206667571 None]","[-111.04655702073649 -111.01008853643522 -110.98751280805824
 -110.96841026866232 -110.94583454028535 -110.93194178436106
 -110.93541497334213 -110.98403961907717 -110.94583454028535
 -110.78085806368435 -110.70444790610074 -110.63324753198873
 -110.59330585870637 -110.57767650829155 -110.56899353583887
 -110.5377348350092 None]",1575.0,1777.0967741935483
69,Major Highway,86,124,0,"[42.90998838174012 42.913461570721196 42.91172497623066 42.88741265336314
 42.87699308641992 42.84747098008079 42.81100249577952 42.7675876335161
 42.73806552717698 42.70507023185678 42.680757908989264 42.62866007427316
 42.59566477895296 42.58177202302866 42.566142672613836 None]","[-112.43409601867539 -112.45667174705237 -112.50876958176848
 -112.60949206221962 -112.69111200327484 -112.74320983799095
 -112.80051745617867 -112.85261529089476 -112.89603015315818
 -112.92902544847838 -112.9915428501377 -113.08184576364562
 -113.26766137413306 -113.406588933376 -113.49862844137446 None]",1314.0,4353.709677419355
70,Major Highway,84,107,0,"[42.5644060781233 42.559196294651684 42.57829883404759 42.586981806500276
 42.57829883404759 42.58524521200974 42.58177202302866 42.59392818446242
 42.63907964121638 42.64428942468799 None]","[-113.50210163035553 -113.64102918959847 -113.75911761495497
 -113.87894263480202 -114.07344121774214 -114.1567977532879
 -114.28530574558764 -114.33393039132267 -114.41034054890628
 -114.45028222218863 None]",948.0,7463.448275862069
71,Major Highway,84,166,0,"[41.71000158877911 41.73431391164678 41.76904580145754 41.80030450228708
 41.819407041683064 41.81593385270202 41.83850958107905 41.85761212047487
 41.87497806538022 41.89060741579499 41.9010269827383 41.91665633315307
 41.95312481745441 41.96180778990714 41.96701757337877 41.97743714032191
 42.00001286869889 42.171935723262095 42.203194424091635 42.21535058552553
 42.24660928635507 42.29349733759955 42.38032706212647 42.50188867646409
 42.53141078280322 42.569615861595025 None]","[-112.20139235694347 -112.2413340302258 -112.26390975860272
 -112.29343186494185 -112.3576858610918 -112.41152029029837
 -112.43930580214703 -112.45319855807122 -112.47230109746721
 -112.51745255422117 -112.57476017240884 -112.61470184569117
 -112.67895584184112 -112.71021454267077 -112.78488810576374
 -112.80746383414078 -112.83351275149886 -113.0019624170809
 -113.04190409036329 -113.04885046832538 -113.08879214160777
 -113.1669388936819 -113.26766137413307 -113.3909595829611
 -113.45695017360151 -113.50731141382715 None]",1422.0,2464.709677419354
72,Major Highway,80,243,0,"[40.74098186305965 40.749664835512334 40.74445505204072 40.728825701625894
 40.728825701625894 40.74271845755018 40.780923536341994 40.82260180411488
 40.82433839860541 40.76355759143663 40.749664835512334 40.74445505204072
 40.676727866909786 40.66457170547603 40.668044894457104 40.68020105589086
 40.77397715837985 40.77224056388931 40.77918694185146 40.76529418592716
 40.7670307804177 None]","[-114.04044592242194 -114.01266041057335 -113.97966511525316
 -113.33712515375453 -113.12873381489011 -113.05579684628758
 -112.98112328319449 -112.90992290908248 -112.89776674764872
 -112.78662470025436 -112.74147324350041 -112.64075076304927
 -112.46882790848613 -112.33337353822427 -112.29864164841352
 -112.26564635309333 -112.1371383607936 -112.09198690403964
 -112.01384015196548 -111.92527383294811 -111.9061712935522 None]",811.0,10694.483870967742
73,Secondary Highway,6,64,0,"[37.898176682050895 37.94159154431431 37.95548430023861 37.96590386718183
 37.97111365065344 37.99368937903042 37.99542597352096 38.01800170189794
 38.00410894597364 38.00410894597364 38.011055323935786 38.030157863331695
 38.030157863331695 None]","[-118.43055679449898 -118.36630279834912 -118.33504409751947
 -118.32983431404786 -118.31594155812355 -118.29683901872765
 -118.27947307382229 -118.25516075095477 -118.19437994378599
 -118.0867110853727 -117.99467157737425 -117.90957844733795
 -117.8835295299799 None]",2560.0,3692.3870967741937
74,Secondary Highway,59,109,0,"[31.35295204721767 31.300854212501566 31.1845023816356 31.13587773590057
 31.10809222405198 31.029945471977825 30.960481692356353 30.91359364111186
 30.811134566170185 30.78161245983106 30.74861716451086 30.713885274700125
 30.665260628965093 30.5853772824004 30.547172203608593 30.51417690828839
 30.451659506629067 30.350937026177935 None]","[-94.71562243172835 -94.73125178214319 -94.77813983338768
 -94.80418875074574 -94.81287172319841 -94.81981810116056
 -94.81287172319841 -94.8215546956511 -94.87191593587667
 -94.89449166425365 -94.93269674304545 -94.94658949896974
 -94.95700906591297 -94.95006268795082 -94.95700906591297
 -94.97784819979941 -95.0334192234966 -95.0907268416843 None]",1008.0,4706.322580645161
75,Secondary Highway,271,14,0,"[33.99257567283362 33.95610718853234 33.93874124362698 33.92484848770268
 33.90400935381624 33.87101405849604 None]","[-95.52313886982797 -95.52313886982797 -95.51792908635636
 -95.50750951941313 -95.47972400756456 -95.49361676348884 None]",1131.0,12800.354838709678
76,Secondary Highway,281,197,0,"[37.010776897386584 36.592257625167214 36.58531124720507 36.42728114856622
 36.34566120751099 36.14942603008033 35.83510242729317 35.8316292383121
 35.8177364823878 35.79516075401082 35.729170163370426 35.63192087190036
 35.59545238759909 35.548564336354595 None]","[-98.64553576381314 -98.66984808668066 -98.87997602003561
 -98.87997602003561 -98.91818109882743 -98.93207385475172
 -98.57954517317275 -98.45624696434463 -98.41804188555282
 -98.40414912962854 -98.39372956268531 -98.31037302713955
 -98.2947436767247 -98.2843241097815 None]",1080.0,26309.16
77,Secondary Highway,62,91,0,"[35.5346715804303 35.36274872586716 35.3175972691132 35.2984947297173
 35.282865379302464 35.25855305643495 35.20819181620938 35.1335182531163
 35.067527662475904 35.058844690023214 35.05363490655161 35.04147874511785
 35.03279577266517 34.73062833131176 None]","[-98.33121216102599 -98.37810021227048 -98.32947556653545
 -98.2843241097815 -98.27043135385719 -98.26522157038559
 -98.26522157038559 -98.26001178691398 -98.24959221997075
 -98.25306540895183 -98.26348497589505 -98.32773897204491
 -98.35378788940297 -98.39025637370423 None]",1074.0,27416.225806451614
78,Major Highway,69,30,0,"[35.72743356887989 35.68922849008808 35.651023411296265 35.60239876556124
 35.53293498593977 35.505149474091176 35.4686809897899 35.45478823386561
 None]","[-95.39463087752824 -95.41199682243361 -95.45714827918756
 -95.47104103511187 -95.51271930288475 -95.5196656808469 -95.5196656808469
 -95.53182184228065 None]",3221.0,452.8
79,Secondary Highway,65,60,0,"[37.121918944780944 37.101079810894504 37.04203559821625 36.99341095248122
 36.94478630674619 36.906581227954376 36.85274679874774 36.837117448332904
 36.7989123695411 36.75897069625875 36.64609205437386 36.621779731506344
 36.57662827475239 36.55405254637541 36.53668660147004 36.51237427860252
 36.496744928187695 None]","[-93.24472689824368 -93.24646349273422 -93.2273609533383
 -93.22388776435724 -93.22562435884777 -93.23778052028153
 -93.21346819741402 -93.21173160292348 -93.22388776435724
 -93.22388776435724 -93.21520479190455 -93.2221511698667
 -93.24646349273422 -93.24993668171528 -93.24472689824368
 -93.22041457537617 -93.21173160292348 None]",2852.0,3314.8
80,Major Highway,,64,0,"[37.38588130734254 37.354622606512876 37.337256661607505
 37.326837094664285 37.30426136628731 37.25390012606174 37.22785120870369
 37.16533380704436 37.13581170070524 37.099343216403966 37.040299003725714
 37.01251349187712 36.98472798002854 36.956942468179946 36.91352760591653
 None]","[-86.80022474386159 -86.78285879895623 -86.75854647608871
 -86.74986350363602 -86.74465372016441 -86.74639031465495
 -86.73770734220226 -86.66477037359972 -86.64219464522274
 -86.63351167277006 -86.56578448763912 -86.5084768694514
 -86.50153049148926 -86.5032670859798 -86.43206671186779 None]",3856.0,133.90322580645162
81,Major Highway,72,212,0,"[40.00640239356258 39.91957266903574 39.89178715718715 39.869211428810175
 39.82232337756568 39.798011054698165 39.787591487754945 39.76327916488743
 39.73202046405776 39.71812770813347 39.726810680586155 39.72507408609562
 39.686869007303805 39.67297625137951 39.68339581832274 39.676449440360585
 39.686869007303805 39.72854727507669 39.73549365303884 39.74244003100098
 39.75285959794421 39.75459619243474 39.73896684201991 None]","[-91.3066874468046 -91.32231679721943 -91.31884360823835
 -91.33620955314373 -91.30147766333299 -91.29626787986138
 -91.30842404129514 -91.30842404129514 -91.25111642310742
 -91.19380880491971 -91.1556037261279 -91.11739864733609
 -90.95068557624455 -90.82217758394484 -90.56689819383593
 -90.34114091006614 -90.21436951225695 -90.16227167754084
 -90.13448616569225 -89.82537234637671 -89.7923770510565
 -89.76632813369845 -89.64476651936087 None]",928.0,4010.733333333333
82,Major Highway,57,97,0,"[39.09642688052129 39.00091418354177 38.98875802210801 38.97486526618371
 38.79425943916789 38.77342030528145 38.735215226489636 38.705693120150514
 38.66054166339655 38.551136210492736 38.33579849366617 38.2993300093649
 38.264598119554165 None]","[-88.58023409666181 -88.59239025809558 -88.60280982503879
 -88.62364895892523 -88.8389866757518 -88.8771917545436 -88.9240798057881
 -88.96749466805153 -88.96923126254207 -88.95360191212723
 -88.96228488457992 -88.95360191212723 -88.92755299476917 None]",,
