,s_id,direction,lane,lat,long,month,state,country,dailytraffic,demandfactor
63,160,1,1,41.26567,104.8425,1,Alabama,USA,3001.76,0.6380884716103894
64,160,1,1,34.492656,82.000883,1,Alabama,USA,3001.76,0.6380884716103894
65,160,1,1,33.520176,86.834293,1,Alabama,USA,3001.76,0.6380884716103894
66,160,1,1,31.91226,81.35294,1,Alabama,USA,3001.76,0.6380884716103894
67,155,5,4,33.54383,86.826916,1,Alabama,USA,10935.93103448276,2.3246667020113967
68,155,5,5,33.54383,86.826916,1,Alabama,USA,773.4827586206897,0.16442035048280462
69,156,1,1,31.8879,82.60414,1,Alabama,USA,5705.529411764706,1.2128326522043953
70,156,1,1,33.548273,86.828503,1,Alabama,USA,5705.529411764706,1.2128326522043953
71,156,1,1,35.328797,85.163594,1,Alabama,USA,5705.529411764706,1.2128326522043953
72,156,1,1,44.163,105.44475,1,Alabama,USA,5705.529411764706,1.2128326522043953
73,155,5,3,33.54383,86.826916,1,Alabama,USA,15859.103448275862,3.37119259381876
74,156,1,2,31.8879,82.60414,1,Alabama,USA,10468.64705882353,2.2253354703884733
75,156,1,2,35.328797,85.163594,1,Alabama,USA,10468.64705882353,2.2253354703884733
76,156,1,2,44.163,105.44475,1,Alabama,USA,10468.64705882353,2.2253354703884733
77,156,1,3,33.548273,86.828503,1,Alabama,USA,15111.764705882351,3.212329714738119
78,156,1,4,33.548273,86.828503,1,Alabama,USA,15454.411764705885,3.285166696397713
79,156,1,5,33.548273,86.828503,1,Alabama,USA,10543.470588235294,2.241240816426414
80,156,1,2,33.548273,86.828503,1,Alabama,USA,10468.64705882353,2.2253354703884733
81,155,5,2,36.338293,107.790135,1,Alabama,USA,14377.413793103447,3.0562276774130877
82,155,5,2,33.54383,86.826916,1,Alabama,USA,14377.413793103447,3.0562276774130877
83,155,5,2,31.72572,84.17222,1,Alabama,USA,14377.413793103447,3.0562276774130877
84,155,1,1,31.72572,84.17222,1,Alabama,USA,2353.758620689656,0.5003418797024548
85,155,1,1,33.54383,86.826916,1,Alabama,USA,2353.758620689656,0.5003418797024548
86,155,1,1,35.786867,88.867829,1,Alabama,USA,2353.758620689656,0.5003418797024548
87,155,1,1,36.338293,107.790135,1,Alabama,USA,2353.758620689656,0.5003418797024548
88,155,1,2,31.72572,84.17222,1,Alabama,USA,11911.379310344828,2.5320191550655435
89,155,1,2,33.54383,86.826916,1,Alabama,USA,11911.379310344828,2.5320191550655435
90,155,1,2,35.786867,88.867829,1,Alabama,USA,11911.379310344828,2.5320191550655435
91,155,1,2,36.338293,107.790135,1,Alabama,USA,11911.379310344828,2.5320191550655435
92,155,1,3,33.54383,86.826916,1,Alabama,USA,14112.413793103447,2.9998962435287155
93,155,1,4,33.54383,86.826916,1,Alabama,USA,15574.172413793103,3.310624391061887
94,155,1,5,33.54383,86.826916,1,Alabama,USA,11342.310344827589,2.4110513407007037
95,155,5,1,31.72572,84.17222,1,Alabama,USA,13801.655172413792,2.9338378333574773
96,155,5,1,33.54383,86.826916,1,Alabama,USA,13801.655172413792,2.9338378333574773
97,155,5,1,36.338293,107.790135,1,Alabama,USA,13801.655172413792,2.9338378333574773
98,156,5,1,31.8879,82.60414,1,Alabama,USA,3486.3529411764707,0.7410990951074303
99,168,1,1,34.774272,83.075817,1,Alabama,USA,9110.451612903224,1.936621896939737
100,156,5,1,33.548273,86.828503,1,Alabama,USA,3486.3529411764707,0.7410990951074303
101,156,5,2,31.8879,82.60414,1,Alabama,USA,10740.35294117647,2.2830923833988876
102,158,5,1,33.39744,84.55165,1,Alabama,USA,5841.033333333334,1.2416369171059662
103,158,5,1,33.558282,86.830315,1,Alabama,USA,5841.033333333334,1.2416369171059662
104,158,5,1,41.655382,83.555778,1,Alabama,USA,5841.033333333334,1.2416369171059662
105,158,5,1,45.555609,113.941384,1,Alabama,USA,5841.033333333334,1.2416369171059662
106,158,5,2,33.558282,86.830315,1,Alabama,USA,12453.5,2.6472585353925644
107,158,1,6,33.558282,86.830315,1,Alabama,USA,9733.0,2.068957909421113
108,158,5,2,41.655382,83.555778,1,Alabama,USA,12453.5,2.6472585353925644
109,158,5,3,41.655382,83.555778,1,Alabama,USA,12812.266666666666,2.723522085442564
110,158,5,4,33.558282,86.830315,1,Alabama,USA,13673.2,2.906531931274711
111,158,5,4,41.655382,83.555778,1,Alabama,USA,13673.2,2.906531931274711
112,158,5,5,33.558282,86.830315,1,Alabama,USA,9440.666666666666,2.006816189274453
113,158,5,6,33.558282,86.830315,1,Alabama,USA,465.1666666666667,0.09888115218319679
114,158,5,3,33.558282,86.830315,1,Alabama,USA,12812.266666666666,2.723522085442564
115,158,1,5,33.558282,86.830315,1,Alabama,USA,13412.806451612903,2.8511796974826926
116,158,1,4,41.655382,83.555778,1,Alabama,USA,12049.387096774191,2.5613556701477105
117,158,1,4,33.558282,86.830315,1,Alabama,USA,12049.387096774191,2.5613556701477105
118,156,5,2,33.548273,86.828503,1,Alabama,USA,10740.35294117647,2.2830923833988876
119,156,5,2,44.163,105.44475,1,Alabama,USA,10740.35294117647,2.2830923833988876
120,156,5,3,33.548273,86.828503,1,Alabama,USA,14101.058823529413,2.997482501197324
121,156,5,4,33.548273,86.828503,1,Alabama,USA,17060.29411764706,3.62653143447615
122,156,5,5,33.548273,86.828503,1,Alabama,USA,13792.529411764706,2.9318979571965396
123,158,1,1,33.39744,84.55165,1,Alabama,USA,394.4193548387097,0.08384229362193783
124,158,1,1,33.558282,86.830315,1,Alabama,USA,394.4193548387097,0.08384229362193783
125,158,1,1,41.655382,83.555778,1,Alabama,USA,394.4193548387097,0.08384229362193783
126,158,1,1,43.49215,110.82752,1,Alabama,USA,394.4193548387097,0.08384229362193783
127,158,1,1,45.555609,113.941384,1,Alabama,USA,394.4193548387097,0.08384229362193783
128,158,1,2,33.558282,86.830315,1,Alabama,USA,8567.129032258064,1.8211270289038906
129,158,1,2,41.655382,83.555778,1,Alabama,USA,8567.129032258064,1.8211270289038906
130,158,1,3,33.558282,86.830315,1,Alabama,USA,9508.09677419355,2.0211499049120634
131,158,1,3,41.655382,83.555778,1,Alabama,USA,9508.09677419355,2.0211499049120634
132,156,5,1,44.163,105.44475,1,Alabama,USA,3486.3529411764707,0.7410990951074303
133,168,1,1,39.787799,75.057412,1,Alabama,USA,9110.451612903224,1.936621896939737
134,168,1,1,43.98228,116.913981,1,Alabama,USA,9110.451612903224,1.936621896939737
135,168,1,2,33.544928,86.752254,1,Alabama,USA,14237.387096774191,3.0264619997288666
136,180,5,2,40.89246,73.88471,1,Alabama,USA,6139.548387096775,1.3050926945194194
137,180,5,3,32.450915,86.211772,1,Alabama,USA,3707.2258064516127,0.7880503600398775
138,180,5,3,34.774272,83.075817,1,Alabama,USA,3707.2258064516127,0.7880503600398775
139,180,5,3,40.89246,73.88471,1,Alabama,USA,3707.2258064516127,0.7880503600398775
140,180,5,2,34.774272,83.075817,1,Alabama,USA,6139.548387096775,1.3050926945194194
141,180,5,2,32.450915,86.211772,1,Alabama,USA,6139.548387096775,1.3050926945194194
142,180,1,3,34.774272,83.075817,1,Alabama,USA,3545.0,0.7535657853588663
143,180,1,3,40.89246,73.88471,1,Alabama,USA,3545.0,0.7535657853588663
144,180,5,1,31.3431,83.59119,1,Alabama,USA,4677.290322580645,0.9942583794885497
145,180,5,1,32.450915,86.211772,1,Alabama,USA,4677.290322580645,0.9942583794885497
146,180,5,1,34.774272,83.075817,1,Alabama,USA,4677.290322580645,0.9942583794885497
147,180,5,1,40.89246,73.88471,1,Alabama,USA,4677.290322580645,0.9942583794885497
