road num,candidate index,capacity,lat,lon
1,25,56.0,42.624016644357816,-100.53973729259616
1,50,0.0,42.31395849111364,-100.52907134694085
1,75,0.0,42.09087121747143,-100.54030541374877
1,100,0.0,41.75058257545216,-100.52199638546531
1,125,0.0,41.53065969210384,-100.50072272953362
1,150,0.0,41.231508709658314,-100.69513789791829
2,25,0.0,35.888302241534966,-87.13784945737365
2,50,0.0,35.825206069349036,-86.98758983919855
2,75,30.0,35.862629515608695,-86.56308227190802
4,25,15.0,39.40738996776474,-74.55703008739535
6,25,0.0,42.96638210142223,-104.36229478199681
6,50,0.0,43.26904920717498,-104.29788681339082
6,75,0.0,43.58677202895145,-104.19660312964625
6,100,0.0,43.785876891247725,-104.18730218805618
6,125,50.0,44.05825686463568,-104.1449719944442
7,25,55.0,44.28225692778811,-103.90489089889654
7,50,0.0,44.458428457781665,-103.72677856365115
52,25,117.0,41.4560375326086,-120.83816285418268
52,50,0.0,41.3572901469493,-120.94414031138064
52,75,0.0,41.193124765844075,-120.94912841202698
52,100,150.0,41.06948640176897,-121.20375410588734
52,125,0.0,41.07532361322562,-121.32256810630322
52,150,150.0,40.90631679093612,-121.63833488434754
52,175,150.0,40.866718033146334,-121.84492954822281
52,200,150.0,40.780923536341994,-122.00119655247728
52,225,150.0,40.68220237846365,-122.15465455393384
53,25,150.0,43.483467705624946,-123.32575743326728
53,50,150.0,43.67822107728359,-123.20318073896458
53,75,150.0,43.8435637652522,-123.02621811631617
53,100,150.0,44.040511395079584,-123.04468835585527
54,25,120.0,48.32713387058582,-101.73924417497241
54,50,150.0,48.32311049683186,-101.94910584895507
54,75,150.0,48.32674758911934,-102.21397011563693
54,100,150.0,48.30872430016794,-102.45967299299889
54,125,150.0,48.338877625559995,-102.77948709983323
54,150,150.0,48.34304614985269,-103.44719830510539
54,175,150.0,48.34205037115551,-103.20621986038563
54,200,150.0,48.34105459245831,-102.96524141566586
54,225,150.0,48.26079040312728,-103.62667254967015
54,250,150.0,48.17540346345658,-103.63386842520288
55,25,150.0,41.39796318314205,-117.91499262143843
55,50,150.0,41.471400092902094,-118.27908460709631
55,75,150.0,41.752375392528975,-118.52943844420057
55,100,150.0,41.782971384592855,-118.55223859484954
55,125,150.0,41.9190329969042,-118.70357324291462
55,150,150.0,41.887134226813934,-118.8678265118606
55,175,52.0,41.8960116480364,-119.12146168236
55,200,150.0,41.92395666528155,-119.26672460729687
55,225,150.0,42.037240859324534,-119.48694888574153
55,250,150.0,42.09785339911367,-119.71892538218036
55,275,150.0,42.17834011791566,-119.86531952388275
55,300,150.0,42.21750286881139,-120.19040387562143
56,25,150.0,43.56422508886156,-118.95313887880124
56,50,0.0,43.432703899062176,-118.6063254999852
56,75,0.0,43.26750609382509,-118.5590653135246
56,100,0.0,43.1381276651402,-118.27659332858333
56,125,61.0,42.95610975882664,-118.04699881420399
56,150,150.0,42.89466524578494,-117.98053710183294
59,25,50.0,41.83823961189556,-123.92403137851052
59,50,0.0,41.80523227203196,-124.1027938876693
60,25,0.0,41.642896952880506,-124.10403720572397
60,50,50.0,41.773940071276165,-124.17936859422363
61,25,0.0,43.684717621814855,-116.91219987878343
61,50,23.0,43.53249745076848,-116.85071998464765
61,75,0.0,43.363239319135864,-116.9237718287385
66,25,0.0,41.75656206024781,-107.5366745677909
66,50,0.0,41.747358922877396,-107.61459467953168
66,75,0.0,41.701982551401386,-107.90541643104774
66,100,0.0,41.64467273768783,-108.21244065106701
66,125,0.0,41.63359143119556,-108.4103849861515
66,150,0.0,41.64272331302115,-108.58795127193201
66,175,0.0,41.68443445929264,-108.78893384609836
66,200,0.0,41.64271960126766,-109.02578463419367
66,225,0.0,41.631604800126674,-109.07983194795726
66,250,0.0,41.530275566213255,-109.42433276245737
66,275,0.0,41.55488090348023,-109.58213200283203
66,300,0.0,41.54328851768766,-109.66423705869462
67,25,0.0,41.8929790096047,-110.39085315800331
67,50,0.0,42.039626826997356,-110.15725430857813
67,75,150.0,42.32998821855079,-110.17918559780082
67,100,0.0,42.48242203858161,-110.09389891479317
67,125,0.0,42.69749200414214,-110.07980010019165
67,150,103.0,42.89997626230214,-110.07666466786074
67,175,0.0,43.118054833602365,-110.17526279491452
67,200,0.0,43.25013197049775,-110.46656911948608
67,225,0.0,43.31914626261575,-110.69937894959148
68,25,0.0,42.02377334664278,-110.93379199022509
68,50,0.0,41.81942485860893,-110.95870022400607
68,75,35.0,41.81298883060377,-110.6549023741884
69,25,0.0,42.8849656995639,-112.62865986698033
69,50,0.0,42.74041058132577,-112.89258154411587
69,75,115.0,42.657383814846845,-113.03205794665124
69,100,0.0,42.58187031941047,-113.40560596955781
70,25,150.0,42.56420258304446,-113.67197715420835
70,50,0.0,42.58169835114733,-113.99729203470814
70,75,150.0,42.58247221406586,-114.25939867721127
70,100,10.0,42.60474170892146,-114.35223020194566
71,25,0.0,41.81906564707046,-112.36297747758702
71,50,0.0,41.94718421214479,-112.66848906105751
71,75,0.0,42.15358514416647,-112.9839825567549
