new_ev,capacity
new_ev_1131_0,0.0
new_ev_1132_0,120.0
new_ev_1132_1,150.0
new_ev_1132_2,150.0
new_ev_1132_3,150.0
new_ev_1133_0,143.0
new_ev_1134_0,150.0
new_ev_1134_1,150.0
new_ev_1134_2,74.0
new_ev_1134_3,0.0
new_ev_1134_4,0.0
new_ev_1134_5,150.0
new_ev_1135_0,150.0
new_ev_1135_1,150.0
new_ev_1135_2,150.0
new_ev_1135_3,150.0
new_ev_1135_4,150.0
new_ev_1135_5,150.0
new_ev_1135_6,150.0
new_ev_1135_7,150.0
new_ev_1135_8,150.0
new_ev_1137_0,0.0
new_ev_1137_1,0.0
new_ev_1137_2,0.0
new_ev_1137_3,0.0
new_ev_1137_4,0.0
new_ev_1137_5,0.0
new_ev_1137_6,0.0
new_ev_1137_7,150.0
new_ev_1137_8,78.0
new_ev_113_0,0.0
new_ev_113_1,0.0
new_ev_113_2,0.0
new_ev_113_3,92.0
new_ev_113_4,0.0
new_ev_113_5,0.0
new_ev_113_6,0.0
new_ev_1141_0,2.0
new_ev_1143_0,0.0
new_ev_1143_1,0.0
new_ev_1143_10,0.0
new_ev_1143_11,0.0
new_ev_1143_12,0.0
new_ev_1143_13,0.0
new_ev_1143_14,0.0
new_ev_1143_15,0.0
new_ev_1143_2,0.0
new_ev_1143_3,0.0
new_ev_1143_4,0.0
new_ev_1143_5,0.0
new_ev_1143_6,0.0
new_ev_1143_7,0.0
new_ev_1143_8,0.0
new_ev_1143_9,6.0
new_ev_1150_0,0.0
new_ev_1150_1,0.0
new_ev_1150_2,146.0
new_ev_1150_3,0.0
new_ev_1150_4,0.0
new_ev_1150_5,0.0
new_ev_1150_6,0.0
new_ev_1150_7,0.0
new_ev_115_0,94.0
new_ev_1162_0,12.0
new_ev_1163_0,3.0
new_ev_116_0,42.0
new_ev_116_1,0.0
new_ev_1171_0,6.0
new_ev_1171_1,0.0
new_ev_1180_0,0.0
new_ev_1180_1,0.0
new_ev_1180_2,0.0
new_ev_1180_3,0.0
new_ev_1181_0,0.0
new_ev_1181_1,0.0
new_ev_1181_2,48.0
new_ev_1182_0,150.0
new_ev_1183_0,0.0
new_ev_1183_1,0.0
new_ev_1183_2,0.0
new_ev_1183_3,93.0
new_ev_1185_0,0.0
new_ev_1185_1,0.0
new_ev_1185_2,0.0
